;parent;name;inner.name
0;We should encourage building the Hyperloop;Where are they building the Hyperloop?;How fast will the Hyperloop go?
1;We should encourage building the Hyperloop;Where are they building the Hyperloop?;Is Hyperloop one Elon Musk?
2;We should encourage building the Hyperloop;Where are they building the Hyperloop?;How does the Hyperloop affect the environment?
3;We should encourage building the Hyperloop;Where are they building the Hyperloop?;How did Elon Musk come up with Hyperloop?
4;We should encourage building the Hyperloop;Where are they building the Hyperloop?;How much does the Hyperloop cost per mile?
5;We should encourage building the Hyperloop;How does the Hyperloop affect the environment?;How expensive is the Hyperloop?
6;We should encourage building the Hyperloop;How does the Hyperloop affect the environment?;Is Hyperloop safe?
7;We should encourage building the Hyperloop;How does the Hyperloop affect the environment?;How did Elon Musk come up with Hyperloop?
8;We should encourage building the Hyperloop;How does the Hyperloop affect the environment?;How much does the Hyperloop cost per mile?
9;We should encourage building the Hyperloop;How did Elon Musk come up with Hyperloop?;Who thought of Hyperloop?
10;We should encourage building the Hyperloop;How did Elon Musk come up with Hyperloop?;What are the benefits of Hyperloop?
11;We should encourage building the Hyperloop;How did Elon Musk come up with Hyperloop?;How much does the Hyperloop cost per mile?
12;We should encourage building the Hyperloop;How much does the Hyperloop cost per mile?;Is Hyperloop cheaper than bullet train?
13;We should encourage building the Hyperloop;How much does the Hyperloop cost per mile?;How will the Hyperloop work?
