;parent;name;inner.name
0;We should expand NATO;Why has NATO expanded?;Does NATO have special forces?
1;We should expand NATO;Why has NATO expanded?;Is Macedonia in NATO?
2;We should expand NATO;Should NATO have expanded into Eastern Europe?;Was Russia ever a part of NATO?
3;We should expand NATO;Should NATO have expanded into Eastern Europe?;Which 3 NATO countries were not founder members?
4;We should expand NATO;Should NATO have expanded into Eastern Europe?;Is Crimea in NATO?
5;We should expand NATO;Why is Sweden not in NATO?;What countries are not in NATO?
6;We should expand NATO;Why is Sweden not in NATO?;Why is Ireland not in NATO?
7;We should expand NATO;Why is Sweden not in NATO?;Is Australia a NATO country?
8;We should expand NATO;Which country joined NATO recently?;Why did France leave NATO?
9;We should expand NATO;Which country joined NATO recently?;Does NATO have an army?
10;We should expand NATO;Which country joined NATO recently?;When did Turkey join NATO?
