;parent;name;inner.name
0;We should limit the right to bear arms;What are the limits to the Second Amendment?;Can you lose your right to bear arms?
1;We should limit the right to bear arms;What are the limits to the Second Amendment?;How is the second amendment important?
2;We should limit the right to bear arms;What does the second amendment really say?;Does the Second Amendment protect the right to bear arms?
3;We should limit the right to bear arms;What does the second amendment really say?;Can the 2nd Amendment be changed?
4;We should limit the right to bear arms;What does the second amendment really say?;What does the 2nd Amendment mean in your own words?
5;We should limit the right to bear arms;What does the right to keep and bear arms mean?;Why is the right to keep and bear arms important?
6;We should limit the right to bear arms;What does the right to keep and bear arms mean?;What did arms mean in 1776?
7;We should limit the right to bear arms;What does the right to keep and bear arms mean?;Do non citizens have the right to bear arms?
8;We should limit the right to bear arms;Does 2nd Amendment apply to individuals?;What is the Second Amendment in simple terms?
9;We should limit the right to bear arms;Does 2nd Amendment apply to individuals?;Can the Bill of Rights be changed?
10;We should limit the right to bear arms;Does 2nd Amendment apply to individuals?;What does the Second Amendment mean in kid words?
