;parent;name;inner.name
0;We should make education compulsory to degree level;Is university education compulsory for all?;Should NCAA be made compulsory?
1;We should make education compulsory to degree level;Is university education compulsory for all?;Where does the word university come from?
2;We should make education compulsory to degree level;Is compulsory education good?;Should schooling be compulsory?
3;We should make education compulsory to degree level;Is compulsory education good?;Is it illegal to skip school?
4;We should make education compulsory to degree level;Is compulsory education good?;Can a parent go to jail for truancy?
5;We should make education compulsory to degree level;What age is it mandatory to go to school?;Is it better to be oldest or youngest in class?
6;We should make education compulsory to degree level;What age is it mandatory to go to school?;At what age is school free?
7;We should make education compulsory to degree level;What age is it mandatory to go to school?;At what age can you drop out of school?
8;We should make education compulsory to degree level;Should education be compulsory until the age of 18?;Is it a legal requirement to stay in education until 18?
9;We should make education compulsory to degree level;Should education be compulsory until the age of 18?;Can 17 year olds work?
10;We should make education compulsory to degree level;Should education be compulsory until the age of 18?;Should everyone be forced to stay at school until they are 18?
