;parent;name;inner.name
0;We should support universal basic income;Why Universal Basic Income will work?;Who gets universal basic income?
1;We should support universal basic income;Why Universal Basic Income will work?;Will Universal Basic Income happen?
2;We should support universal basic income;What does universal basic income mean?;Who qualifies for basic income?
3;We should support universal basic income;What does universal basic income mean?;What is universal basic income in the US?
4;We should support universal basic income;What does universal basic income mean?;Who invented universal basic income?
5;We should support universal basic income;Can Universal Basic Income work?;How much would universal income cost?
6;We should support universal basic income;Can Universal Basic Income work?;Why universal basic income is needed?
7;We should support universal basic income;Can Universal Basic Income work?;Does Canada have universal basic income?
8;We should support universal basic income;Which countries have implemented universal basic income?;How is basic income funded?
9;We should support universal basic income;Which countries have implemented universal basic income?;What is the minimum income?
10;We should support universal basic income;Which countries have implemented universal basic income?;Does Germany have universal basic income?
