;parent;name;inner.name
0;You should join Facebook;Is it safe to join Facebook?;How do I set up Facebook safely?
1;You should join Facebook;Is it safe to join Facebook?;How secure is my Facebook account?
2;You should join Facebook;Do you want to join Facebook?;Does it cost to join Facebook?
3;You should join Facebook;Do you want to join Facebook?;Can I join Facebook privately?
4;You should join Facebook;Do you want to join Facebook?;Can I join Facebook anonymously?
5;You should join Facebook;Why should I use Facebook?;What is the main purpose of Facebook?
6;You should join Facebook;Why should I use Facebook?;Why is Facebook so popular?
7;You should join Facebook;Why should I use Facebook?;What are the advantages of using Facebook?
8;You should join Facebook;What can Facebook be used for?;What is Facebook and how it works?
9;You should join Facebook;What can Facebook be used for?;What are the risks of using Facebook?
10;You should join Facebook;What can Facebook be used for?;What are the disadvantages of Facebook?
