;parent;name;inner.name
0;flights;How do I find the cheapest flights?;
1;flights;How do I find the cheapest flights?;
2;flights;What is best flight booking site?;What airline is the cheapest?
3;flights;What is best flight booking site?;Is it cheaper to book flights online or with a travel agent?
4;flights;What is best flight booking site?;What is the cheapest flight website?
5;flights;Is it cheaper to buy a plane ticket last minute?;Do flight prices change daily?
6;flights;Is it cheaper to buy a plane ticket last minute?;Do flight prices ever go down?
7;flights;Is it cheaper to buy a plane ticket last minute?;Do flight prices go down closer to date?
8;flights;How can I get cheap last minute flights?;Do flights ever get cheaper last minute?
9;flights;How can I get cheap last minute flights?;Is it cheaper to buy airline tickets at the airport?
10;flights;How can I get cheap last minute flights?;Why are flights so expensive?
